Latitude,Lat Dir,Longitude,Lon Dir
0658.37800439,S642,M,22.4642
0658.37796817,S,10737.82193470,E
0658.37788769,S,10737.82192049,E
0658.37786485,S,10737.82190332,E
0658.37792417,S,10737.82189101,E
0658.37817618,S,10737.82190668,E
0658.37850771,S366,M,22.4642
0658.37888127,S,10737.82198121,E
0658.37925611,S,10737.82208221,E
0658.37961063,S,10737.82216950,E
0658.38054739,S,10737.82232119,E
0658.38089956,S,10737.82234608,E
0658.38174605,S719,M,22.4640
0658.38215643,S,10737.82251413,E
0658.38233452,S,10737.82261841,E
0658.38252870,S,10737.82275263,E
0658.38270422,S,10737.82291118,E
0658.38284451,S,10737.82306718,E
0658.38295991,S,10737.82325556,E
0658.38305625,S526,M,22.4639
0658.38352410,S,10737.82373121,E
0658.38352865,S,10737.82394892,E
0658.38354418,S,10737.82445456,E
0658.38353133,S,10737.82466813,E
0658.38352224,S,10737.82492614,E
0658.38352912,S086,M,22.4639
0658.38355672,S,10737.82574633,E
0658.38356888,S,10737.82595583,E
0658.38360901,S,10737.82625431,E
0658.38365284,S,10737.82660022,E
0658.38362491,S,10737.82664745,E
0658.38335783,S999,M,22.4639
0658.38317342,S,10737.82682651,E
0658.38299966,S,10737.82688382,E
0658.38281463,S,10737.82691640,E
0658.38267889,S910,M,22.4639
0658.38256640,S,10737.82695824,E
0658.38222662,S914,M,22.4639
0658.38199283,S829,M,22.4640
0658.38182058,S,10737.82695359,E
0658.38163682,S,10737.82693924,E
0658.38138186,S992,M,22.4640
0658.38112083,S,10737.82690785,E
0658.38094233,S,10737.82689999,E
0658.38077577,S,10737.82689372,E
0658.38059788,S,10737.82688788,E
0658.38035521,S215,M,22.4640
0658.38007154,S,10737.82688525,E
0658.37958126,S,10737.82689248,E
0658.37931485,S,10737.82690400,E
0658.37913448,S,10737.82691279,E
0658.37900572,S108,M,22.4641
0658.37889537,S,10737.82691918,E
0658.37880976,S,10737.82691696,E
0658.37876468,S,10737.82697223,E
0658.37881696,S,10737.82705556,E
0658.37889612,S,10737.82707416,E
0658.37893700,S,10737.82701259,E
0658.37880474,S,10737.82682794,E
0658.37876217,S,10737.82677537,E
0658.37905752,S628,M,22.4641
0658.37930991,S,10737.82686426,E
0658.37983758,S,10737.82691913,E
0658.38008154,S,10737.82692002,E
0658.38036145,S,10737.82690495,E
0658.38062984,S,10737.82690115,E
0658.38098089,S,10737.82690776,E
0658.38129533,S584,M,22.4640
0658.38158844,S,10737.82700663,E
0658.38191893,S,10737.82708793,E
0658.38260708,S,10737.82725464,E
0658.38280425,S,10737.82730627,E
0658.38294838,S,10737.82734056,E
0658.38305471,S,10737.82731403,E
0658.38316248,S585,M,22.4639
0658.38334482,S455,M,22.4639
0658.38364593,S,10737.82682852,E
0658.38366364,S,10737.82671206,E
0658.38371141,S,10737.82648528,E
0658.38376733,S,10737.82624444,E
0658.38381043,S,10737.82600854,E
0658.38381895,S,10737.82579327,E
0658.38376810,S,10737.82559883,E
0658.38370628,S,10737.82527456,E
0658.38364642,S,10737.82497196,E
0658.38359029,S,10737.82468480,E
0658.38352618,S231,M,22.4639
0658.38346337,S,10737.82411884,E
0658.38336263,S,10737.82387528,E
0658.38324810,S392,M,22.4639
0658.38311233,S,10737.82333207,E
0658.38296459,S497,M,22.4639
0658.38279422,S,10737.82281875,E
0658.38259768,S,10737.82261197,E
0658.38235881,S,10737.82241851,E
0658.38209713,S,10737.82222557,E
0658.38115061,S,10737.82188826,E
0658.38077493,S902,M,22.4641
0658.38039700,S,10737.82179608,E
0658.38001964,S,10737.82177988,E
0658.37931450,S,10737.82174528,E
0658.37911999,S,10737.82173332,E
0658.37898604,S,10737.82174291,E
0658.37894085,S,10737.82179765,E
0658.37909280,S,10737.82188122,E
0658.37917014,S110,M,22.4642
0658.37928638,S,10737.82177794,E
0658.37930570,S,10737.82179031,E
0658.37940637,S,10737.82178377,E
0658.37955295,S,10737.82178085,E
0658.38041214,S,10737.82183864,E
0658.38109241,S,10737.82187442,E
